col_num code v[vesc] alpha[deg] mtot[MSUN] gamma[1] wft[%] wfp[%] Nbig[1] mfr[mtot] r1[AU] phi_r1[rad] th_r1[rad] v1[AU/yr/2pi] phi_v1[rad] th_v1[rad] m1[mtot] wf1[1] r2[AU] phi_r2[rad] th_r2[rad] v2[AU/yr/2pi] phi_v2[rad] th_v2[rad] m2[mtot] w1[wtot]
68 011111 1.0 20.0 7.390278043e-08 0.5 20.0 20.0 1 0.000814004685623 3.83972870126e-07 1.07214269643 1.66314554543 0.000115121203407 0.850183954187 1.79579315245 0.999185995314 0.995873353613 0.000275024354889 -0.874117324386 1.60696328802 0.0355937856244 -0.938480656852 1.60707410068 2.27305372703e-05 0.000115175712384 
69 011200 1.0 20.0 7.390278043e-08 1.0 10.0 10.0 1 0.00191573230434 1.42222819646e-07 2.46741138422 1.65753788643 2.90772706677e-05 1.43200736817 0.829927531547 0.998084267696 0.981131112097 0.000243465671052 0.87786342925 0.373851303294 0.0282667490335 0.768088063564 0.422213671094 1.98559726293e-05 0.000195543468294 
70 011201 1.0 20.0 7.390278043e-08 1.0 10.0 20.0 1 0.00118822705454 1.03211129945e-07 -1.47365417164 1.39796683286 2.70795889024e-05 -1.42610389848 1.74577201566 0.998811772945 0.992047493717 0.000333701820698 -1.47486556254 0.799437246799 0.0474327408577 -1.50570492841 0.822281019806 2.14403170428e-05 0.000143493253057 
71 011210 1.0 20.0 7.390278043e-08 1.0 20.0 10.0 1 0.00118822705454 1.03211129945e-07 -1.47365417164 1.39796683286 2.70795889024e-05 -1.42610389848 1.74577201566 0.998811772945 0.992047493717 0.000333701820698 -1.47486556254 0.799437246799 0.0474327408577 -1.50570492841 0.822281019806 2.14403170428e-05 0.000143493253057 
72 011211 1.0 20.0 7.390278043e-08 1.0 20.0 20.0 1 0.000884873956433 7.44694862366e-08 2.05669618458 0.763319925851 2.15629041881e-05 2.0616337903 1.14487647272 0.999115126044 0.995575986676 0.000355930283491 2.27356173185 0.858568088656 0.0518552109629 2.26176437263 0.860549907376 2.27849131029e-05 0.000113901215765 
73 012000 1.0 20.0 6.454309092e-07 0.1 10.0 10.0 1 0.00320706944566 2.53970910592e-06 1.7948416006 1.55172982995 0.000351032864681 1.77431583925 1.39780866743 0.996792930554 0.968126876759 0.000655612679201 -1.03026746954 1.83438878699 0.0820964227093 -1.10960279191 1.81359591513 1.94559221125e-05 0.000193359618054 
74 012001 1.0 20.0 6.454309092e-07 0.1 10.0 20.0 1 0.00362576197654 2.59293375312e-06 1.81637016984 1.50800259319 0.000316109494779 2.10042148428 1.24751775458 0.996374238023 0.967169586815 0.000763366847787 -0.985528820854 2.06893031073 0.102232065059 -1.05517851445 2.064433954 1.96818940856e-05 0.000178235404627 
75 012010 1.0 20.0 6.454309092e-07 0.1 20.0 10.0 1 0.00169113965839 1.68993371278e-06 1.86041131732 1.60868834783 0.000268412939634 1.83583277453 1.35864352356 0.998308860342 0.991051063782 0.000614016640416 -1.00934622395 1.70170063968 0.0760335636876 -1.1096411021 1.69939441008 4.07550798425e-05 0.000215642759367 
76 012011 1.0 20.0 6.454309092e-07 0.1 20.0 20.0 1 0.00179561185182 2.02994854367e-06 2.13209081704 1.7882429524 0.000381334239322 2.25167991549 2.00129481184 0.998204388148 0.990984858832 0.000615246328095 -0.916386244045 1.80325233281 0.0770837005797 -1.0148765881 1.80672087534 2.23223765955e-05 0.000112038132051 
77 012100 1.0 20.0 6.454309092e-07 0.5 10.0 10.0 1 0.00424117591986 2.46562310065e-06 1.34056906843 1.66558871596 0.00040246243501 1.15034061883 1.55158026139 0.99575882408 0.956548432436 0.000717052221961 -1.21176662658 1.56517008387 0.0981904893025 -1.26125350549 1.56683218861 1.91579908248e-05 0.000196280371706 
78 012101 1.0 20.0 6.454309092e-07 0.5 10.0 20.0 1 0.00441507121045 2.8462419745e-06 1.31995851535 1.53644014678 0.000530476240264 1.22437013804 1.72083900474 0.99558492879 0.967319459333 0.00048815302805 -1.05557284504 2.46381040533 0.0543987043492 -1.1541028126 2.40355544041 2.07173536675e-05 0.000153352260551 
79 012110 1.0 20.0 6.454309092e-07 0.5 20.0 10.0 1 0.00365735686619 2.44296171054e-06 1.84519288943 1.35987325126 0.000370348477541 1.79837946123 1.23296318031 0.996342643134 0.978016350756 0.000494863928566 -0.935285808603 1.10682710803 0.0558465451091 -1.02554451753 1.1222528962 2.11282716716e-05 0.000127005530101 
